date,open,high,low,close,volume,change_pct,dataset
2014-06-13,9392.54,9413.18,9382.36,9398.85,,-0.17,MASI
2014-06-16,9363.6,9364.23,9328.15,9331.72,,-0.71,MASI
2014-06-17,9312.67,9338.27,9307.94,9319.49,,-0.13,MASI
2014-06-18,9320.58,9352.78,9309.55,9323.27,,0.04,MASI
2014-06-19,9320.81,9329.68,9308.34,9308.34,,-0.16,MASI
2014-06-20,9301.01,9303.82,9233.44,9271.94,,-0.39,MASI
2014-06-23,9238.75,9251.95,9212.57,9217.09,,-0.59,MASI
2014-06-24,9203.16,9209.42,9196.53,9203.73,,-0.14,MASI
2014-06-25,9188.78,9251.98,9184.92,9239.74,,0.39,MASI
2014-06-26,9213.1,9250.28,9205.5,9250.28,,0.11,MASI
2014-06-27,9233.4,9267.06,9230.94,9247.45,,-0.03,MASI
2014-06-30,9217.61,9258.98,9209.59,9226.63,,-0.23,MASI
2014-07-01,9195.41,9264.44,9195.41,9259.46,,0.36,MASI
2014-07-02,9232.29,9232.29,9194.98,9213.55,,-0.5,MASI
2014-07-03,9188.34,9224.61,9183.51,9218.28,,0.05,MASI
2014-07-04,9183.58,9209.11,9172.53,9205.12,,-0.14,MASI
2014-07-07,9189.05,9312.25,9171.58,9312.25,,1.16,MASI
2014-07-08,9256.92,9256.92,9201.68,9224.26,,-0.94,MASI
2014-07-09,9207.98,9214.82,9189.46,9206.53,,-0.19,MASI
2014-07-10,9175.99,9204.84,9175.68,9204.84,,-0.02,MASI
2014-07-11,9183.71,9229.87,9173.28,9229.87,,0.27,MASI
2014-07-14,9237.53,9255.97,9225.22,9255.97,,0.28,MASI
2014-07-15,9254.18,9254.18,9199.74,9236.79,,-0.21,MASI
2014-07-16,9233.79,9261.9,9228.52,9261.38,,0.27,MASI
2014-07-17,9237.67,9253.14,9230.08,9241.21,,-0.22,MASI
2014-07-18,9217.38,9249.78,9210.49,9249.78,,0.09,MASI
2014-07-21,9238.46,9255.09,9226.34,9255.09,,0.06,MASI
2014-07-22,9236.45,9285.31,9227.72,9259.82,,0.05,MASI
2014-07-23,9258.76,9292.89,9258.76,9292.89,,0.36,MASI
2014-07-24,9299.02,9339.29,9292.49,9333.89,,0.44,MASI
2014-07-25,9321.39,9324.56,9281.66,9300.08,,-0.36,MASI
